created_cohort,leads_signups,days_to_convert,converted_to_paid
23-Jan,3235,106,1
23-Jan,3235,103,1
23-Jan,3235,97,1
23-Jan,3235,88,1
23-Jan,3235,77,1
23-Feb,2899,75,1
23-Feb,2899,60,1
23-Feb,2899,45,1
23-Jan,3235,75,1
23-Mar,2888,25,1
23-Mar,2888,24,2
23-Feb,2899,41,1
23-Jan,3235,73,1
23-Feb,2899,38,1
23-Feb,2899,36,1
23-Mar,2888,23,2
23-Feb,2899,35,1
23-Jan,3235,71,1
23-Jan,3235,70,1
23-Feb,2899,34,1
23-Jan,3235,69,1
23-Feb,2899,33,1
23-Feb,2899,32,1
23-Feb,2899,31,2
23-Jan,3235,69,1
23-Feb,2899,29,2
23-Jan,3235,63,1
23-Jan,3235,61,1
23-Jan,3235,60,1
23-Jan,3235,57,1
23-Jan,3235,54,1
23-Jan,3235,53,2
23-Jan,3235,53,5
23-Jan,3235,52,1
23-Jan,3235,49,1
23-Jan,3235,48,1
23-Jan,3235,47,1
23-Jan,3235,42,1
23-Jan,3235,41,1
23-Jan,3235,34,1
23-Jan,3235,33,1
23-Mar,2888,22,1
23-Jan,3235,32,1
23-Jan,3235,31,1
23-Jan,3235,30,1
23-Mar,2888,17,2
23-Jan,3235,29,1
23-Jan,3235,28,2
23-Jan,3235,27,1
23-Jan,3235,26,1
23-Jan,3235,25,1
23-Jan,3235,24,1
23-Feb,2899,28,3
23-Jan,3235,23,1
23-Mar,2888,16,1
23-Jan,3235,22,2
23-Jan,3235,21,1
23-Jan,3235,20,1
23-Jan,3235,19,1
23-Jan,3235,18,2
23-Jan,3235,17,3
23-Jan,3235,16,2
23-Jan,3235,15,2
23-Jan,3235,14,2
23-Jan,3235,13,2
23-Feb,2899,27,1
23-Feb,2899,26,1
23-Feb,2899,25,2
23-Feb,2899,24,1
23-Feb,2899,23,2
23-Jan,3235,12,2
23-Feb,2899,22,2
23-Feb,2899,21,2
23-Feb,2899,19,1
23-Feb,2899,17,1
23-Feb,2899,16,1
23-Jan,3235,11,3
23-Feb,2899,15,4
23-Jan,3235,19,4
23-Mar,2888,15,2
23-Mar,2888,13,1
23-Feb,2899,13,2
23-Feb,2899,12,2
23-Mar,2888,12,2
23-Mar,2888,7,1
23-Feb,2899,11,2
23-Feb,2899,10,3
23-Apr,744,14,1
23-Apr,744,12,2
23-Mar,2888,3,3
23-Jan,3235,9,2
23-Jan,3235,8,1
23-Jan,3235,7,2
23-Apr,744,11,1
23-Apr,744,10,2
23-Apr,744,6,1
23-Apr,744,5,1
23-Jan,3235,5,2
23-Apr,744,3,2
23-Apr,744,2,4
23-Apr,744,0,4
23-Jan,3235,4,2
23-Jan,3235,2,3
23-Feb,2899,9,5
23-Jan,3235,1,4
23-Jan,3235,0,7
23-Feb,2899,7,3
23-Feb,2899,6,2
23-Feb,2899,3,2
23-Feb,2899,2,5
23-Mar,2888,3,1
23-Mar,2888,2,3
23-Mar,2888,1,4
23-Feb,2899,0,6
23-Mar,2888,0,4
